symbol,symbol_type,exchange_name,description
dev_1,stock,Dev,
dev_10,stock,Dev,
dev_100,stock,Dev,
dev_1000,stock,Dev,
dev_10000,stock,Dev,
ABBV,stock,NYSE,
MO,stock,NYSE,
ARNA,stock,NASDAQ,
APH,stock,NYSE,
VIVO,stock,NASDAQ,
SMG,stock,NYSE,
TPB,stock,NYSE,
TLRY,stock,NASDAQ,
UVV,stock,NYSE,
GWPH,stock,Dev,
IIPR,stock,NYSE,
TRST,stock,NASDAQ,
DIA,etf,NYSE,
GDXJ,etf,NYSE,
GLD,etf,NYSE,
KBE,etf,NYSE,
LIT,etf,NYSE,
POTX,etf,NASDAQ,
SLV,etf,NYSE,
USO,etf,NYSE,
SPY,etf,NYSE,
ALRS,moex,MOEX,
GAZP,moex,MOEX,
GMKN,moex,MOEX,
HYDR,moex,MOEX,
KMAZ,moex,MOEX,
LKOH,moex,MOEX,
LNTA,moex,MOEX,
LNZL,moex,MOEX,
MGNT,moex,MOEX,
MOEX,moex,MOEX,
NVTK,moex,MOEX,
MVID,moex,MOEX,
PLZL,moex,MOEX,
POLY,moex,MOEX,
SBER,moex,MOEX,
ROSN,moex,MOEX,
SNGS,moex,MOEX,
VTBR,moex,MOEX,
SIBNM,moex,MOEX,
TCSG,moex,MOEX,
YNDXM,moex,MOEX,
SWM,stock,NYSE,
TER,stock,NASDAQ,
IBB,etf,NASDAQ,
QQQ,etf,NASDAQ,
DSKY,moex,MOEX,
MAIL,moex,MOEX,
TATN,moex,MOEX,
OZONM,moex,MOEX,
AFLT,moex,MOEX,
WTICO/USD,commodity,Commodity,
XAU/USD,commodity,Commodity,
NATGAS/USD,commodity,Commodity,
XPD/USD,commodity,Commodity,
XAG/USD,commodity,Commodity,
XPT/USD,commodity,Commodity,
IMOEX,index,Index IMOEX,
RTSI,index,Index RTSI,
NASDAQ,index,Index NASDAQ,
SP500,index,Index SP500,
CAC40,index,Index CAC40,
DAX30,index,Index DAX30,
NIKKEI,index,Index NIKKEI,
FTSE100,index,Index FTSE100,
DOW,index,Index DOW,
BITO,etf,NYSE,
BITQ,etf,NYSE,
VKCO,moex,MOEX,
ZEC-USD,crypto,Crypto,
BTC-USD,crypto,Crypto,
BCH-USD,crypto,Crypto,
LTC-USD,crypto,Crypto,
XRP-USD,crypto,Crypto,
XLM-USD,crypto,Crypto,
ETH-USD,crypto,Crypto,
XMR-USD,crypto,Crypto,
DOGE-USD,crypto,Crypto,
TRX-USD,crypto,Crypto,
DOT-USD,crypto,Crypto,
